address,city,state,zip,price,sqft,bedrooms,bathrooms,days_on_zillow,sale_type,url
99-797 Holoai St,AIEA,HI,96701,1049500,3017,5,5,13,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/99-797-Holoai-St-Aiea-HI-96701/713220_zpid/
99-403 Aheahe St,AIEA,HI,96701,658000,864,3,1,NA,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/99-403-Aheahe-St-Aiea-HI-96701/713816_zpid/
98-114 Lipoa Pl APT 302,AIEA,HI,96701,230000,643,2,1,27,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/98-114-Lipoa-Pl-APT-302-Aiea-HI-96701/72189192_zpid/
99-315 Pilikoa St,AIEA,HI,96701,635000,1296,3,1,18,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/99-315-Pilikoa-St-Aiea-HI-96701/713761_zpid/
99-569 Aiea Heights Dr,AIEA,HI,96701,999000,2016,5,3,208,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/99-569-Aiea-Heights-Dr-Aiea-HI-96701/713112_zpid/
99-1363 Aiea Heights Dr # 19,AIEA,HI,96701,918000,2118,3,3,NA,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/99-1363-Aiea-Heights-Dr-19-Aiea-HI-96701/712341_zpid/
99-969 Aiea Heights Dr APT E,AIEA,HI,96701,885000,1943,3,3,NA,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/99-969-Aiea-Heights-Dr-APT-E-Aiea-HI-96701/712401_zpid/
98-628 Kuini St,AIEA,HI,96701,2888000,4151,6,3,58,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/98-628-Kuini-St-Aiea-HI-96701/711743_zpid/
99-567 Kahilinai Pl,AIEA,HI,96701,985000,2523,5,4,34,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/99-567-Kahilinai-Pl-Aiea-HI-96701/713003_zpid/
98-703 Iho Pl APT 601,Aiea,HI,96701,409000,1195,3,2,43,Townhouse For Sale,http://www.zillow.com/homes/for_sale//homedetails/98-703-Iho-Pl-APT-601-Aiea-HI-96701/2092906920_zpid/
98-120 Lipoa Pl APT 208,AIEA,HI,96701,319000,849,3,1.5,NA,Townhouse For Sale,http://www.zillow.com/homes/for_sale//homedetails/98-120-Lipoa-Pl-APT-208-Aiea-HI-96701/72215151_zpid/
98-288 Kaonohi St APT 3803,AIEA,HI,96701,130900,890,2,2,398,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/98-288-Kaonohi-St-APT-3803-Aiea-HI-96701/72214210_zpid/
98-1697 Kaahumanu St APT B,Aiea,HI,96701,575000,1232,2,1.5,NA,Townhouse For Sale,http://www.zillow.com/homes/for_sale//homedetails/98-1697-Kaahumanu-St-APT-B-Aiea-HI-96701/2090213624_zpid/
99-963 Lalawai Dr,AIEA,HI,96701,849000,1898,4,2,34,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/99-963-Lalawai-Dr-Aiea-HI-96701/713519_zpid/
98-842 Olena St,AIEA,HI,96701,1598000,3148,6,3,55,Apartment For Sale,http://www.zillow.com/homes/for_sale//homedetails/98-842-Olena-St-Aiea-HI-96701/708774_zpid/
98-662 Puailima St,AIEA,HI,96701,1079000,2631,6,4,31,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/98-662-Puailima-St-Aiea-HI-96701/712153_zpid/
99-696 Meaala St,AIEA,HI,96701,1250000,3532,4,4,27,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/99-696-Meaala-St-Aiea-HI-96701/713378_zpid/
98-393 Ponohana Loop,AIEA,HI,96701,719000,1596,4,2,32,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/98-393-Ponohana-Loop-Aiea-HI-96701/708474_zpid/
98-386 Ponohana Loop,AIEA,HI,96701,675000,1376,3,1,31,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/98-386-Ponohana-Loop-Aiea-HI-96701/708480_zpid/
98-340 Koauka Loop APT 113,AIEA,HI,96701,465000,1258,3,2,128,Townhouse For Sale,http://www.zillow.com/homes/for_sale//homedetails/98-340-Koauka-Loop-APT-113-Aiea-HI-96701/72191457_zpid/
98-703 Iho Place #1501,Aiea,HI,96701,425000,1195,3,2,45,Townhouse For Sale,http://www.zillow.com/homes/for_sale//homedetails/98-703-Iho-Place-1501-Aiea-HI-96701/2090694127_zpid/
98-231 Aiea Kai Pl,AIEA,HI,96701,835000,1328,3,2,52,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/98-231-Aiea-Kai-Pl-Aiea-HI-96701/707885_zpid/
98-1038 Moanalua Rd APT 7-1601,Aiea,HI,96701,299000,791,2,2,2,Townhouse For Sale,http://www.zillow.com/homes/for_sale//homedetails/98-1038-Moanalua-Rd-APT-7-1601-Aiea-HI-96701/2088247261_zpid/
98-715 Iho Pl. #4/903,Aiea,HI,96701,425000,1067,2,2,NA,Townhouse For Sale,http://www.zillow.com/homes/for_sale//homedetails/98-715-Iho-Pl-4-903-Aiea-HI-96701/2094416285_zpid/
98-501 Koauka Loop APT A1608,Aiea,HI,96701,495000,1115,2,2,2,Townhouse For Sale,http://www.zillow.com/homes/for_sale//homedetails/98-501-Koauka-Loop-APT-A1608-Aiea-HI-96701/2089235787_zpid/
99-1047 Aiea Heights Dr,Aiea,HI,96701,1349000,3637,5,5,NA,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/99-1047-Aiea-Heights-Dr-Aiea-HI-96701/712468_zpid/
99-608 Kaulainahee Pl,AIEA,HI,96701,765000,1352,3,3,51,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/99-608-Kaulainahee-Pl-Aiea-HI-96701/713108_zpid/
99-015 Kalaloa St APT 501,Aiea,HI,96701,346500,632,2,1,NA,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/99-015-Kalaloa-St-APT-501-Aiea-HI-96701/2089377442_zpid/
98-380 Koauka Loop APT 308,AIEA,HI,96701,390000,1011,2,2,16,Townhouse For Sale,http://www.zillow.com/homes/for_sale//homedetails/98-380-Koauka-Loop-APT-308-Aiea-HI-96701/72201413_zpid/
98-293 Ualo St APT 5,Aiea,HI,96701,498000,1342,3,3,27,Townhouse For Sale,http://www.zillow.com/homes/for_sale//homedetails/98-293-Ualo-St-APT-5-Aiea-HI-96701/2099593202_zpid/
98-1412 Onikiniki Pl,Aiea,HI,96701,920000,1683,3,2,67,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/98-1412-Onikiniki-Pl-Aiea-HI-96701/2089177711_zpid/
99-107 Ohiakea St,AIEA,HI,96701,1199000,3814,8,5,25,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/99-107-Ohiakea-St-Aiea-HI-96701/716062_zpid/
98-421 Kaonohi St # 291,Aiea,HI,96701,520000,1504,3,3,NA,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/98-421-Kaonohi-St-291-Aiea-HI-96701/2089263310_zpid/
98-624 Puailima St,AIEA,HI,96701,1049000,3125,4,4,NA,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/98-624-Puailima-St-Aiea-HI-96701/712144_zpid/
98-923 107,Aiea,HI,96701,374000,1222,3,1.5,479,Foreclosed,http://www.zillow.com/homes/for_sale//homedetails/98-923-107-Aiea-HI-96701/72189461_zpid/
98-2043 Kipikua St,AIEA,HI,96701,997500,1857,3,2,17,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/98-2043-Kipikua-St-Aiea-HI-96701/711444_zpid/
98-380 Koauka Loop APT 317,AIEA,HI,96701,483000,1336,3,2,33,Townhouse For Sale,http://www.zillow.com/homes/for_sale//homedetails/98-380-Koauka-Loop-APT-317-Aiea-HI-96701/72217926_zpid/
99-211 Ohekani Loop,AIEA,HI,96701,853888,1092,3,2,249,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/99-211-Ohekani-Loop-Aiea-HI-96701/715923_zpid/
98-065 Lii Ipo St,Aiea,HI,96701,589000,836,3,1,66,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/98-065-Lii-Ipo-St-Aiea-HI-96701/2089160903_zpid/
98-422 Ponohale St,AIEA,HI,96701,598000,5488,NA,NA,NA,Lot/Land For Sale,http://www.zillow.com/homes/for_sale//homedetails/98-422-Ponohale-St-Aiea-HI-96701/708628_zpid/
98-376 Kaonohi St # 12/404,Aiea,HI,96701,510000,1356,3,3,26,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/98-376-Kaonohi-St-12-404-Aiea-HI-96701/2088592816_zpid/
98-259 Ualo St APT 6,Aiea,HI,96701,525000,1388,3,3,5,Townhouse For Sale,http://www.zillow.com/homes/for_sale//homedetails/98-259-Ualo-St-APT-6-Aiea-HI-96701/2088295166_zpid/
99-1757 Welelau Pl,Aiea,HI,96701,975000,NA,NA,NA,20,Lot/Land For Sale,http://www.zillow.com/homes/for_sale//homedetails/99-1757-Welelau-Pl-Aiea-HI-96701/2114202548_zpid/
99-050A Nalopaka Pl,Aiea,HI,96701,958000,2619,5,3,NA,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/99-050A-Nalopaka-Pl-Aiea-HI-96701/2091471403_zpid/
99-060 Kauhale St APT 905,Aiea,HI,96701,329000,663,2,1,17,Townhouse For Sale,http://www.zillow.com/homes/for_sale//homedetails/99-060-Kauhale-St-APT-905-Aiea-HI-96701/2088456510_zpid/
98-380 Koauka Loop APT 321,AIEA,HI,96701,459000,1336,3,2,24,Townhouse For Sale,http://www.zillow.com/homes/for_sale//homedetails/98-380-Koauka-Loop-APT-321-Aiea-HI-96701/72206178_zpid/
99-969 Lalawai Dr,AIEA,HI,96701,1050000,2829,4,3,NA,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/99-969-Lalawai-Dr-Aiea-HI-96701/713518_zpid/
98-633 Kilinoe St APT 1D1,AIEA,HI,96701,459000,1260,2,2,32,Townhouse For Sale,http://www.zillow.com/homes/for_sale//homedetails/98-633-Kilinoe-St-APT-1D1-Aiea-HI-96701/72190281_zpid/
98-501 Koauka Loop APT A1805,Aiea,HI,96701,508000,1168,2,2,4,Townhouse For Sale,http://www.zillow.com/homes/for_sale//homedetails/98-501-Koauka-Loop-APT-A1805-Aiea-HI-96701/2088282363_zpid/
98-402 Koauka Loop APT 302,AIEA,HI,96701,430000,847,2,1,5,Townhouse For Sale,http://www.zillow.com/homes/for_sale//homedetails/98-402-Koauka-Loop-APT-302-Aiea-HI-96701/72209753_zpid/
98-430 Kaonohi St # 476,Aiea,HI,96701,425000,1008,2,2,45,Townhouse For Sale,http://www.zillow.com/homes/for_sale//homedetails/98-430-Kaonohi-St-476-Aiea-HI-96701/2088868009_zpid/
98-1404 Akaaka St,AIEA,HI,96701,1279000,2388,4,3,27,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/98-1404-Akaaka-St-Aiea-HI-96701/709110_zpid/
98-435 Pono St,AIEA,HI,96701,1200000,3784,7,4,242,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/98-435-Pono-St-Aiea-HI-96701/711575_zpid/
98-288 Kaonohi St APT 3303,AIEA,HI,96701,79800,848,1,1,398,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/98-288-Kaonohi-St-APT-3303-Aiea-HI-96701/72202658_zpid/
98-360 Koauka Loop APT 243,AIEA,HI,96701,435000,1226,3,2,32,Townhouse For Sale,http://www.zillow.com/homes/for_sale//homedetails/98-360-Koauka-Loop-APT-243-Aiea-HI-96701/72217404_zpid/
98-1295 Kaonohi St,AIEA,HI,96701,1600000,3878,4,4,470,Make Me Move®,http://www.zillow.com/homes/for_sale//homedetails/98-1295-Kaonohi-St-Aiea-HI-96701/709386_zpid/
98-715 Kaonohi St APT D,Aiea,HI,96701,450000,977,2,2,17,Townhouse For Sale,http://www.zillow.com/homes/for_sale//homedetails/98-715-Kaonohi-St-APT-D-Aiea-HI-96701/72216621_zpid/
98-288 Kaonohi St APT 2606,AIEA,HI,96701,79800,515,1,1,398,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/98-288-Kaonohi-St-APT-2606-Aiea-HI-96701/72215621_zpid/
98-1032 Moanalua Rd APT 3-206,Aiea,HI,96701,279000,778,2,2,165,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/98-1032-Moanalua-Rd-APT-3-206-Aiea-HI-96701/2090860666_zpid/
98-402 Koauka Loop APT 1701,AIEA,HI,96701,435000,756,2,1,4,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/98-402-Koauka-Loop-APT-1701-Aiea-HI-96701/72191187_zpid/
98-450 Koauka Loop APT 1006,AIEA,HI,96701,318000,586,1,1,6,Townhouse For Sale,http://www.zillow.com/homes/for_sale//homedetails/98-450-Koauka-Loop-APT-1006-Aiea-HI-96701/72187795_zpid/
98-424 Kaonohi Street 3 # (20/470),Aiea,HI,96701,559000,1676,4,4,NA,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/98-424-Kaonohi-Street-3-(20-470)-Aiea-HI-96701/2089199282_zpid/
98-630 Moanalua Loop APT 217,AIEA,HI,96701,340000,800,2,1,33,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/98-630-Moanalua-Loop-APT-217-Aiea-HI-96701/72216204_zpid/
98-288 Kaonohi St APT 4202,AIEA,HI,96701,130900,890,2,2,398,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/98-288-Kaonohi-St-APT-4202-Aiea-HI-96701/72193702_zpid/
98-402 Koauka Loop APT 1715,AIEA,HI,96701,430000,799,2,1,38,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/98-402-Koauka-Loop-APT-1715-Aiea-HI-96701/72207489_zpid/
98-1773 Kaahumanu St # 46B,AIEA,HI,96701,579000,1232,2,2,NA,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/98-1773-Kaahumanu-St-46B-Aiea-HI-96701/72215445_zpid/
98-673 Kilinoe St,Aiea,HI,96701,5900000,NA,NA,NA,28,Lot/Land For Sale,http://www.zillow.com/homes/for_sale//homedetails/98-673-Kilinoe-St-Aiea-HI-96701/241838450_zpid/
98-510 Kaamilo St,Aiea,HI,96701,999000,2692,5,4,381,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/98-510-Kaamilo-St-Aiea-HI-96701/708679_zpid/
98-450 Koauka Loop APT 710,AIEA,HI,96701,335000,514,1,1,12,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/98-450-Koauka-Loop-APT-710-Aiea-HI-96701/72208372_zpid/
98-380 Koauka Loop # 232,Aiea,HI,96701,408000,1011,2,2,40,Townhouse For Sale,http://www.zillow.com/homes/for_sale//homedetails/98-380-Koauka-Loop-232-Aiea-HI-96701/2088780970_zpid/
98-402 Koauka Loop APT 1909,AIEA,HI,96701,338000,637,1,1,NA,Townhouse For Sale,http://www.zillow.com/homes/for_sale//homedetails/98-402-Koauka-Loop-APT-1909-Aiea-HI-96701/72200482_zpid/
98-707 Iho Pl # 2602,Aiea,HI,96701,399000,896,2,2,NA,Townhouse For Sale,http://www.zillow.com/homes/for_sale//homedetails/98-707-Iho-Pl-2602-Aiea-HI-96701/72213888_zpid/
98-487 Koauka Loop APT B402,Aiea,HI,96701,440000,959,2,2,24,Townhouse For Sale,http://www.zillow.com/homes/for_sale//homedetails/98-487-Koauka-Loop-APT-B402-Aiea-HI-96701/2088554991_zpid/
(unit 98-351 Koauka Loop # C608),Aiea,HI,96701,499000,1067,2,2,32,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/(unit-98-351-Koauka-Loop-C608)-Aiea-HI-96701/2088681641_zpid/
98-1038 Moanalua Rd APT 7-1407,Aiea,HI,96701,225000,583,1,1,48,Townhouse For Sale,http://www.zillow.com/homes/for_sale//homedetails/98-1038-Moanalua-Rd-APT-7-1407-Aiea-HI-96701/72192139_zpid/
99-314A Eke Pl # 2,Aiea,HI,96701,978000,2899,5,3,NA,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/99-314A-Eke-Pl-2-Aiea-HI-96701/2088862084_zpid/
98-500 Koauka Loop APT 15A,AIEA,HI,96701,410000,904,2,1,NA,Townhouse For Sale,http://www.zillow.com/homes/for_sale//homedetails/98-500-Koauka-Loop-APT-15A-Aiea-HI-96701/72211083_zpid/
98-271 Kaonohi St # H2,Aiea,HI,96701,469000,1295,3,2,41,Townhouse For Sale,http://www.zillow.com/homes/for_sale//homedetails/98-271-Kaonohi-St-H2-Aiea-HI-96701/2088807431_zpid/
98-288 Kaonohi St APT 1504,AIEA,HI,96701,61600,360,0,1,398,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/98-288-Kaonohi-St-APT-1504-Aiea-HI-96701/72189160_zpid/
98-099 Uao Pl APT 1704,Aiea,HI,96701,450000,946,2,2,144,Townhouse For Sale,http://www.zillow.com/homes/for_sale//homedetails/98-099-Uao-Pl-APT-1704-Aiea-HI-96701/2090521918_zpid/
98-099 Uao Pl APT 2508,Aiea,HI,96701,408000,720,2,1,NA,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/98-099-Uao-Pl-APT-2508-Aiea-HI-96701/2088702133_zpid/
98-288 Kaonohi St APT 3008,AIEA,HI,96701,61600,360,0,1,398,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/98-288-Kaonohi-St-APT-3008-Aiea-HI-96701/72207952_zpid/
98-515 Pono St,AIEA,HI,96701,1350000,4025,0,NA,NA,Apartment For Sale,http://www.zillow.com/homes/for_sale//homedetails/98-515-Pono-St-Aiea-HI-96701/711550_zpid/
98-288 Kaonohi St APT 803,AIEA,HI,96701,79800,515,1,1,398,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/98-288-Kaonohi-St-APT-803-Aiea-HI-96701/72213189_zpid/
98-410 Koauka Loop APT 28G,AIEA,HI,96701,320300,615,1,1,NA,Foreclosure,http://www.zillow.com/homes/for_sale//homedetails/98-410-Koauka-Loop-APT-28G-Aiea-HI-96701/72196271_zpid/
98-410 Koauka Loop APT 29E,AIEA,HI,96701,402000,910,2,1,54,Townhouse For Sale,http://www.zillow.com/homes/for_sale//homedetails/98-410-Koauka-Loop-APT-29E-Aiea-HI-96701/72214905_zpid/
98-487 Koauka Loop APT B1701,Aiea,HI,96701,399000,926,1,1,27,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/98-487-Koauka-Loop-APT-B1701-Aiea-HI-96701/2088609497_zpid/
98-402 Koauka Loop APT 1811,AIEA,HI,96701,338000,666,1,1,NA,Townhouse For Sale,http://www.zillow.com/homes/for_sale//homedetails/98-402-Koauka-Loop-APT-1811-Aiea-HI-96701/72193564_zpid/
98-288 Kaonohi St APT 2408,AIEA,HI,96701,61600,360,0,1,398,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/98-288-Kaonohi-St-APT-2408-Aiea-HI-96701/72216250_zpid/
98-410 Koauka Loop APT 3G,AIEA,HI,96701,330000,772,1,1,81,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/98-410-Koauka-Loop-APT-3G-Aiea-HI-96701/72189263_zpid/
98-500 Koauka Loop APT 18H,AIEA,HI,96701,415000,904,2,1,22,Townhouse For Sale,http://www.zillow.com/homes/for_sale//homedetails/98-500-Koauka-Loop-APT-18H-Aiea-HI-96701/72193670_zpid/
98-080 Uao Pl APT B3,Aiea,HI,96701,288800,731,2,1,26,Townhouse For Sale,http://www.zillow.com/homes/for_sale//homedetails/98-080-Uao-Pl-APT-B3-Aiea-HI-96701/2090031794_zpid/
98-402 Koauka Loop APT 1115,AIEA,HI,96701,438000,749,2,1,33,Townhouse For Sale,http://www.zillow.com/homes/for_sale//homedetails/98-402-Koauka-Loop-APT-1115-Aiea-HI-96701/72185779_zpid/
98-402 Koauka Loop APT 511,AIEA,HI,96701,357500,666,1,1,NA,Townhouse For Sale,http://www.zillow.com/homes/for_sale//homedetails/98-402-Koauka-Loop-APT-511-Aiea-HI-96701/72196548_zpid/
98-288 Kaonohi St APT 1203,AIEA,HI,96701,79800,515,1,1,398,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/98-288-Kaonohi-St-APT-1203-Aiea-HI-96701/72201833_zpid/
98-099 Uao Pl APT 2308,Aiea,HI,96701,385000,864,2,1,37,Townhouse For Sale,http://www.zillow.com/homes/for_sale//homedetails/98-099-Uao-Pl-APT-2308-Aiea-HI-96701/2088750128_zpid/
98-288 Kaonohi St APT 1208,AIEA,HI,96701,61600,360,0,1,398,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/98-288-Kaonohi-St-APT-1208-Aiea-HI-96701/72212941_zpid/
98-450 Koauka Loop APT 206,AIEA,HI,96701,350000,586,1,1,110,Townhouse For Sale,http://www.zillow.com/homes/for_sale//homedetails/98-450-Koauka-Loop-APT-206-Aiea-HI-96701/72198073_zpid/
98-288 Kaonohi St APT 1403,AIEA,HI,96701,79800,515,1,1,398,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/98-288-Kaonohi-St-APT-1403-Aiea-HI-96701/72212525_zpid/
98-402 Koauka Loop APT 2004,AIEA,HI,96701,348988,639,1,1,19,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/98-402-Koauka-Loop-APT-2004-Aiea-HI-96701/72191267_zpid/
98-288 Kaonohi St APT 2303,AIEA,HI,96701,79800,515,1,1,398,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/98-288-Kaonohi-St-APT-2303-Aiea-HI-96701/72191727_zpid/
98-288 Kaonohi St APT 2601,AIEA,HI,96701,61600,360,0,1,398,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/98-288-Kaonohi-St-APT-2601-Aiea-HI-96701/72215485_zpid/
98-288 Kaonohi St APT 1604,AIEA,HI,96701,61600,360,0,1,398,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/98-288-Kaonohi-St-APT-1604-Aiea-HI-96701/72211782_zpid/
98-288 Kaonohi St APT 707,AIEA,HI,96701,79800,515,1,1,398,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/98-288-Kaonohi-St-APT-707-Aiea-HI-96701/72205248_zpid/
98-288 Kaonohi St APT 903,AIEA,HI,96701,79800,515,1,1,398,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/98-288-Kaonohi-St-APT-903-Aiea-HI-96701/72204958_zpid/
98-288 Kaonohi St APT 807,AIEA,HI,96701,79800,515,1,1,398,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/98-288-Kaonohi-St-APT-807-Aiea-HI-96701/72195773_zpid/
99-230 Moanalua Rd,Aiea,HI,96701,875000,10728,NA,NA,496,Lot/Land For Sale,http://www.zillow.com/homes/for_sale//homedetails/99-230-Moanalua-Rd-Aiea-HI-96701/2094746152_zpid/
98-1739 Kaahumanu St # 35B,AIEA,HI,96701,470000,1502,3,2.5,334,Foreclosed,http://www.zillow.com/homes/for_sale//homedetails/98-1739-Kaahumanu-St-35B-Aiea-HI-96701/72209706_zpid/
Hapaki St,AIEA,HI,96701,NA,1910,4,3,134,Pre-Foreclosure (Auction),"http://www.zillow.com/homes/for_sale/247382306_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/"
Koauka Loop APT 409,AIEA,HI,96701,NA,1261,3,2,277,Pre-Foreclosure (Auction),"http://www.zillow.com/homes/for_sale/245545475_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/"
Hoala St,AIEA,HI,96701,NA,1436,3,2,199,Pre-Foreclosure,"http://www.zillow.com/homes/for_sale/245545473_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/"
Koauka Loop APT 308,AIEA,HI,96701,NA,901,2,2,64,Pre-Foreclosure (Auction),"http://www.zillow.com/homes/for_sale/248692272_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/"
